month,spend,revenue,conversions,roas
2025-01,501071.72,4251370.16,64213,8.484554187173046
2025-02,441658.31,3878032.75,57879,8.780617645346693
2025-03,471915.69,3933151.39,59070,8.334436581246113
2025-04,482440.23,3878236.94,58094,8.038792577476386
2025-05,487367.47,4084249.11,61890,8.380225110223298
2025-06,476914.0,4057925.53,60459,8.508715470713797
2025-07,455408.54,3655988.91,54525,8.027932260558838
2025-08,494346.83,3996451.33,60531,8.084306578844654
2025-09,503018.74,4284758.41,64574,8.5180890278561
2025-10,497066.51,3874815.0,58001,7.7953652520263335
2025-11,503255.71,4764543.11,62208,9.467439743505345
2025-12,527410.56,4878532.72,66297,9.249971635001012
